systemName;route;banner;groupName;roots
usatxf4;FM1500;;;tx.fm1500
usatxf4;FM1501;;;tx.fm1501
usatxf4;FM1501;Spr;Milton;tx.fm1501sprmil
usatxf4;FM1502;;;tx.fm1502
usatxf4;FM1503;;;tx.fm1503
usatxf4;FM1504;;;tx.fm1504
usatxf4;FM1505;;;tx.fm1505
usatxf4;FM1506;;;tx.fm1506
usatxf4;FM1507;;;tx.fm1507
usatxf4;FM1508;;;tx.fm1508
usatxf4;FM1509;;;tx.fm1509
usatxf4;FM1510;;;tx.fm1510
usatxf4;FM1511;;;tx.fm1511
usatxf4;FM1512;;;tx.fm1512
usatxf4;FM1513;;;tx.fm1513
usatxf4;FM1514;;;tx.fm1514
usatxf4;FM1515;;;tx.fm1515
usatxf4;FM1516;;;tx.fm1516
usatxf4;FM1518;;;tx.fm1518
usatxf4;FM1519;;;tx.fm1519
usatxf4;FM1520;;;tx.fm1520
usatxf4;FM1521;;;tx.fm1521
usatxf4;FM1522;;;tx.fm1522
usatxf4;FM1523;;;tx.fm1523
usatxf4;FM1524;;;tx.fm1524
usatxf4;FM1525;;;tx.fm1525
usatxf4;FM1527;;;tx.fm1527
usatxf4;FM1528;;;tx.fm1528
usatxf4;FM1529;;;tx.fm1529
usatxf4;FM1530;;;tx.fm1530
usatxf4;FM1531;;;tx.fm1531
usatxf4;FM1532;;;tx.fm1532
usatxf4;FM1533;;;tx.fm1533
usatxf4;FM1534;;;tx.fm1534
usatxf4;FM1535;;;tx.fm1535
usatxf4;FM1536;;;tx.fm1536
usatxf4;FM1537;;;tx.fm1537
usatxf4;FM1538;;;tx.fm1538
usatxf4;FM1539;;;tx.fm1539
usatxf4;FM1540;;;tx.fm1540
usatxf4;FM1541;;;tx.fm1541
usatxf4;FM1541;Spr;Canyon;tx.fm1541sprcan
usatxf4;FM1542;;;tx.fm1542
usatxf4;FM1543;;;tx.fm1543
usatxf4;FM1544;;;tx.fm1544
usatxf4;FM1545;;;tx.fm1545
usatxf4;FM1546;;;tx.fm1546
usatxf4;FM1547;;;tx.fm1547
usatxf4;FM1548;;;tx.fm1548
usatxf4;FM1549;;;tx.fm1549
usatxf4;FM1550;;;tx.fm1550
usatxf4;FM1551;;;tx.fm1551
usatxf4;FM1552;;;tx.fm1552
usatxf4;FM1553;;;tx.fm1553
usatxf4;FM1554;;;tx.fm1554
usatxf4;FM1556;;;tx.fm1556
usatxf4;FM1557;;;tx.fm1557
usatxf4;FM1558;;;tx.fm1558
usatxf4;FM1559;;;tx.fm1559
usatxf4;FM1560;;;tx.fm1560
usatxf4;FM1561;;;tx.fm1561
usatxf4;FM1562;;;tx.fm1562
usatxf4;FM1563;;;tx.fm1563
usatxf4;FM1564;;;tx.fm1564
usatxf4;FM1565;;;tx.fm1565
usatxf4;FM1566;;;tx.fm1566
usatxf4;FM1567;;;tx.fm1567
usatxf4;FM1568;;;tx.fm1568
usatxf4;FM1569;;;tx.fm1569
usatxf4;FM1570;;;tx.fm1570
usatxf4;FM1571;;;tx.fm1571
usatxf4;FM1571;Spr;Pawnee Inlet Unit;tx.fm1571sprpaw
usatxf4;FM1572;;;tx.fm1572
usatxf4;FM1573;;;tx.fm1573
usatxf4;FM1574;;;tx.fm1574
usatxf4;FM1575;;;tx.fm1575
usatxf4;FM1576;;;tx.fm1576
usatxf4;FM1577;;;tx.fm1577
usatxf4;FM1578;;;tx.fm1578
usatxf4;FM1579;;;tx.fm1579
usatxf4;FM1580;;;tx.fm1580
usatxf4;FM1581;;;tx.fm1581
usatxf4;FM1582;;;tx.fm1582
usatxf4;FM1583;;;tx.fm1583
usatxf4;FM1584;;;tx.fm1584
usatxf4;FM1585;;;tx.fm1585
usatxf4;FM1586;;;tx.fm1586
usatxf4;FM1588;;;tx.fm1588
usatxf4;FM1589;;;tx.fm1589
usatxf4;FM1590;;;tx.fm1590
usatxf4;FM1591;;;tx.fm1591
usatxf4;FM1592;;;tx.fm1592
usatxf4;FM1593;;;tx.fm1593
usatxf4;FM1594;;;tx.fm1594
usatxf4;FM1595;;;tx.fm1595
usatxf4;FM1596;;;tx.fm1596
usatxf4;FM1597;;;tx.fm1597
usatxf4;FM1598;;;tx.fm1598
usatxf4;FM1599;;;tx.fm1599
usatxf4;FM1600;;;tx.fm1600
usatxf4;FM1601;;;tx.fm1601
usatxf4;FM1602;;;tx.fm1602
usatxf4;FM1603;;;tx.fm1603
usatxf4;FM1604;;;tx.fm1604
usatxf4;FM1605;;;tx.fm1605
usatxf4;FM1606;;;tx.fm1606
