systemName;region;route;banner;abbrev;city;root;altRouteNames
usatxl;TX;TXLp1;;;;tx.lp001;
usatxl;TX;TXLp2;;;;tx.lp002;
usatxl;TX;TXLp7;;;;tx.lp007;
usatxl;TX;TXLp8;;;;tx.lp008;
usatxl;TX;TXLp11;;;;tx.lp011;
usatxl;TX;TXLp12;;;;tx.lp012;
usatxl;TX;TXLp13;;;;tx.lp013;
usatxl;TX;TXLp14;;;;tx.lp014;
usatxl;TX;TXLp15;;;;tx.lp015;
usatxl;TX;TXLp19;;;;tx.lp019;
usatxl;TX;TXLp20;;;;tx.lp020;
usatxl;TX;TXLp21;;;;tx.lp021;
usatxl;TX;TXLp25;;;;tx.lp025;
usatxl;TX;TXLp34;;;;tx.lp034;
usatxl;TX;TXLp36;;;;tx.lp036;
usatxl;TX;TXLp40;;;;tx.lp040;
usatxl;TX;TXLp42;;;;tx.lp042;
usatxl;TX;TXLp43;;;;tx.lp043;
usatxl;TX;TXLp46;;;;tx.lp046;
usatxl;TX;TXLp47;;;;tx.lp047;
usatxl;TX;TXLp48;;;;tx.lp048;
usatxl;TX;TXLp49;;;;tx.lp049;
usatxl;TX;TXLp60;;;;tx.lp060;
usatxl;TX;TXLp62;;;;tx.lp062;
usatxl;TX;TXLp70;;;;tx.lp070;
usatxl;TX;TXLp71;;;;tx.lp071;
usatxl;TX;TXLp75;;;;tx.lp075;
usatxl;TX;TXLp76;;;;tx.lp076;
usatxl;TX;TXLp79;;;;tx.lp079;
usatxl;TX;TXLp82;;;;tx.lp082;
usatxl;TX;TXLp83;;;;tx.lp083;
usatxl;TX;TXLp84;;;;tx.lp084;
usatxl;TX;TXLp90;;;;tx.lp090;
usatxl;TX;TXLp96;;;;tx.lp096;
usatxl;TX;TXLp98;;;;tx.lp098;
usatxl;TX;TXLp105;;;;tx.lp105;
usatxl;TX;TXLp106;;;;tx.lp106;
usatxl;TX;TXLp107;;;;tx.lp107;
usatxl;TX;TXLp108;;;;tx.lp108;
usatxl;TX;TXLp109;;;;tx.lp109;
usatxl;TX;TXLp110;;;;tx.lp110;
usatxl;TX;TXLp111;;;;tx.lp111;
usatxl;TX;TXLp116;;;;tx.lp116;
usatxl;TX;TXLp118;;;;tx.lp118;
usatxl;TX;TXLp120;;;;tx.lp120;
usatxl;TX;TXLp121;;;;tx.lp121;
usatxl;TX;TXLp123;;;;tx.lp123;
usatxl;TX;TXLp124;;;;tx.lp124;
usatxl;TX;TXLp127;;;;tx.lp127;
usatxl;TX;TXLp128;;;;tx.lp128;
usatxl;TX;TXLp130;;;;tx.lp130;
usatxl;TX;TXLp132;;;;tx.lp132;
usatxl;TX;TXLp142;;;;tx.lp142;
usatxl;TX;TXLp143;;;;tx.lp143;
usatxl;TX;TXLp145;;;;tx.lp145;
usatxl;TX;TXLp149;;;;tx.lp149;
usatxl;TX;TXLp150;;;;tx.lp150;
usatxl;TX;TXLp151;;;;tx.lp151;
usatxl;TX;TXLp155;;;;tx.lp155;
usatxl;TX;TXLp157;;;;tx.lp157;
usatxl;TX;TXLp160;;;;tx.lp160;
usatxl;TX;TXLp163;;;;tx.lp163;
usatxl;TX;TXLp166;;;;tx.lp166;
usatxl;TX;TXLp168;;;;tx.lp168;
usatxl;TX;TXLp170;;;;tx.lp170;
usatxl;TX;TXLp171;;;;tx.lp171;
usatxl;TX;TXLp173;;;;tx.lp173;
usatxl;TX;TXLp177;;;;tx.lp177;
usatxl;TX;TXLp178;;;;tx.lp178;
usatxl;TX;TXLp179;;;;tx.lp179;
usatxl;TX;TXLp181;;;;tx.lp181;
usatxl;TX;TXLp182;;;;tx.lp182;
usatxl;TX;TXLp187;;;;tx.lp187;
usatxl;TX;TXLp193;;;;tx.lp193;
usatxl;TX;TXLp204;;;;tx.lp204;
usatxl;TX;TXLp205;;;;tx.lp205;
usatxl;TX;TXLp207;;;;tx.lp207;
usatxl;TX;TXLp208;;;;tx.lp208;
usatxl;TX;TXLp210;;;;tx.lp210;
usatxl;TX;TXLp211;;;;tx.lp211;
usatxl;TX;TXLp212;;;;tx.lp212;
usatxl;TX;TXLp220;;;;tx.lp220;
usatxl;TX;TXLp222;;;;tx.lp222;
usatxl;TX;TXLp223;;;;tx.lp223;
usatxl;TX;TXLp224;;;;tx.lp224;
usatxl;TX;TXLp225;;;;tx.lp225;
usatxl;TX;TXLp227;;;;tx.lp227;
usatxl;TX;TXLp229;;;;tx.lp229;
usatxl;TX;TXLp230;;;;tx.lp230;
usatxl;TX;TXLp235;;;;tx.lp235;
usatxl;TX;TXLp236;;;;tx.lp236;
usatxl;TX;TXLp238;;;;tx.lp238;
usatxl;TX;TXLp250;;;;tx.lp250;
usatxl;TX;TXLp252;;;;tx.lp252;
usatxl;TX;TXLp254;;;;tx.lp254;
usatxl;TX;TXLp256;;;;tx.lp256;
usatxl;TX;TXLp257;;;;tx.lp257;
usatxl;TX;TXLp262;;;;tx.lp262;
usatxl;TX;TXLp265;;;;tx.lp265;
usatxl;TX;TXLp266;;;;tx.lp266;
usatxl;TX;TXLp267;;;;tx.lp267;
usatxl;TX;TXLp268;;;;tx.lp268;
usatxl;TX;TXLp271;;;;tx.lp271;
usatxl;TX;TXLp274;;;;tx.lp274;
usatxl;TX;TXLp275;;SAu;(South) Austin;tx.lp275sau;
usatxl;TX;TXLp275;;;;tx.lp275;
usatxl;TX;TXLp279;;;;tx.lp279;
usatxl;TX;TXLp281;;;;tx.lp281;
usatxl;TX;TXLp282;;;;tx.lp282;
usatxl;TX;TXLp285;;;;tx.lp285;
usatxl;TX;TXLp286;;;;tx.lp286;
usatxl;TX;TXLp287;;;;tx.lp287;
usatxl;TX;TXLp288;;;;tx.lp288;
usatxl;TX;TXLp289;;;;tx.lp289;
usatxl;TX;TXLp291;;;;tx.lp291;
usatxl;TX;TXLp292;;;;tx.lp292;
usatxl;TX;TXLp293;;;;tx.lp293;
