systemName;route;banner;groupName;roots
usatxr;RM1;;;tx.rm0001
usatxr;RM12;;;tx.rm0012
usatxr;RM32;;;tx.rm0032
usatxr;RM33;;;tx.rm0033
usatxr;RM150;;;tx.rm0150
usatxr;RM152;;;tx.rm0152
usatxr;RM165;;;tx.rm0165
usatxr;RM169;;;tx.rm0169
usatxr;RM187;;;tx.rm0187
usatxr;RM189;;;tx.rm0189
usatxr;RM243;;;tx.rm0243
usatxr;RM334;;;tx.rm0334
usatxr;RM335;;;tx.rm0335
usatxr;RM336;;;tx.rm0336
usatxr;RM337;;;tx.rm0337
usatxr;RM385;;;tx.rm0385
usatxr;RM386;;;tx.rm0386
usatxr;RM473;;;tx.rm0473
usatxr;RM474;;;tx.rm0474
usatxr;RM479;;;tx.rm0479
usatxr;RM480;;;tx.rm0480
usatxr;RM484;;;tx.rm0484
usatxr;RM501;;;tx.rm0501
usatxr;RM505;;;tx.rm0505
usatxr;RM584;;;tx.rm0584
usatxr;RM620;;;tx.rm0620
usatxr;RM628;;;tx.rm0628
usatxr;RM648;;;tx.rm0648
usatxr;RM652;;;tx.rm0652
usatxr;RM674;;;tx.rm0674
usatxr;RM687;;;tx.rm0687
usatxr;RM687;Spr;Lake Meredith;tx.rm0687sprlak
usatxr;RM690;;;tx.rm0690
usatxr;RM693;;;tx.rm0693
usatxr;RM783;;;tx.rm0783
usatxr;RM853;;;tx.rm0853
usatxr;RM864;;;tx.rm0864
usatxr;RM915;;;tx.rm0915
usatxr;RM962;;;tx.rm0962
usatxr;RM962;Spr;Cypress Mill;tx.rm0962sprcyp
usatxr;RM963;;;tx.rm0963
usatxr;RM965;;;tx.rm0965
usatxr;RM967;;;tx.rm0967
usatxr;RM1022;;;tx.rm1022
usatxr;RM1024;;;tx.rm1024
usatxr;RM1050;;;tx.rm1050
usatxr;RM1061;;;tx.rm1061
usatxr;RM1077;;;tx.rm1077
usatxr;RM1108;;;tx.rm1108
usatxr;RM1111;;;tx.rm1111
usatxr;RM1165;;;tx.rm1165
usatxr;RM1174;;;tx.rm1174
usatxr;RM1221;;;tx.rm1221
usatxr;RM1222;;;tx.rm1222
usatxr;RM1282;;;tx.rm1282
usatxr;RM1312;;;tx.rm1312
usatxr;RM1319;;;tx.rm1319
usatxr;RM1320;;;tx.rm1320
usatxr;RM1321;;;tx.rm1321
usatxr;RM1323;;;tx.rm1323
usatxr;RM1357;;;tx.rm1357
usatxr;RM1376;;;tx.rm1376
usatxr;RM1431;;;tx.rm1431
usatxr;RM1474;;;tx.rm1474
usatxr;RM1492;;;tx.rm1492
usatxr;RM1526;;;tx.rm1526
usatxr;RM1555;;;tx.rm1555
usatxr;RM1623;;;tx.rm1623
usatxr;RM1631;;;tx.rm1631
usatxr;RM1672;;;tx.rm1672
usatxr;RM1674;;;tx.rm1674
usatxr;RM1675;;;tx.rm1675
usatxr;RM1676;;;tx.rm1676
usatxr;RM1691;;;tx.rm1691
usatxr;RM1723;;;tx.rm1723
usatxr;RM1773;;;tx.rm1773
usatxr;RM1826;;;tx.rm1826
usatxr;RM1832;;;tx.rm1832
usatxr;RM1837;;;tx.rm1837
usatxr;RM1855;;;tx.rm1855
usatxr;RM1865;;;tx.rm1865
usatxr;RM1869;;;tx.rm1869
