systemName;region;route;banner;abbrev;city;root;altRouteNames
usatxs;TX;TXSpr3;;;;tx.sp003;
usatxs;TX;TXSpr5;;;;tx.sp005;
usatxs;TX;TXSpr6;;;;tx.sp006;
usatxs;TX;TXSpr10;;;;tx.sp010;
usatxs;TX;TXSpr16;;;;tx.sp016;
usatxs;TX;TXSpr19;;;;tx.sp019;
usatxs;TX;TXSpr22;;;;tx.sp022;
usatxs;TX;TXSpr26;;;;tx.sp026;
usatxs;TX;TXSpr28;;;;tx.sp028;
usatxs;TX;TXSpr30;;;;tx.sp030;
usatxs;TX;TXSpr31;;;;tx.sp031;
usatxs;TX;TXSpr33;;;;tx.sp033;
usatxs;TX;TXSpr35;;;;tx.sp035;
usatxs;TX;TXSpr37;;;;tx.sp037;
usatxs;TX;TXSpr38;;;;tx.sp038;
usatxs;TX;TXSpr45;;;;tx.sp045;
usatxs;TX;TXSpr52;;;;tx.sp052;
usatxs;TX;TXSpr54;;;;tx.sp054;
usatxs;TX;TXSpr56;;;;tx.sp056;
usatxs;TX;TXSpr57;;;;tx.sp057;
usatxs;TX;TXSpr59;;;;tx.sp059;
usatxs;TX;TXSpr63;;;;tx.sp063;
usatxs;TX;TXSpr65;;;;tx.sp065;
usatxs;TX;TXSpr67;;;;tx.sp067;
usatxs;TX;TXSpr72;;;;tx.sp072;
usatxs;TX;TXSpr73;;;;tx.sp073;
usatxs;TX;TXSpr74;;;;tx.sp074;
usatxs;TX;TXSpr77;;;;tx.sp077;
usatxs;TX;TXSpr78;;;;tx.sp078;
usatxs;TX;TXSpr80;;;;tx.sp080;
usatxs;TX;TXSpr85;;;;tx.sp085;
usatxs;TX;TXSpr86;;;;tx.sp086;
usatxs;TX;TXSpr87;;;;tx.sp087;
usatxs;TX;TXSpr91;;;;tx.sp091;
usatxs;TX;TXSpr92;;;;tx.sp092;
usatxs;TX;TXSpr93;;;;tx.sp093;
usatxs;TX;TXSpr95;;;;tx.sp095;
usatxs;TX;TXSpr97;;;;tx.sp097;TXLp97
usatxs;TX;TXSpr100;;;;tx.sp100;
usatxs;TX;TXSpr102;;;;tx.sp102;
usatxs;TX;TXSpr104;;;;tx.sp104;
usatxs;TX;TXSpr108;;;;tx.sp108;
usatxs;TX;TXSpr112;;;;tx.sp112;
usatxs;TX;TXSpr113;;;;tx.sp113;
usatxs;TX;TXSpr114;;;;tx.sp114;
usatxs;TX;TXSpr115;;;;tx.sp115;
usatxs;TX;TXSpr117;;;;tx.sp117;
usatxs;TX;TXSpr119;;;;tx.sp119;
usatxs;TX;TXSpr122;;;;tx.sp122;
usatxs;TX;TXSpr125;;;;tx.sp125;
usatxs;TX;TXSpr126;;;;tx.sp126;
usatxs;TX;TXSpr129;;;;tx.sp129;
usatxs;TX;TXSpr131;;;;tx.sp131;
usatxs;TX;TXSpr133;;;;tx.sp133;
usatxs;TX;TXSpr134;;;;tx.sp134;
usatxs;TX;TXSpr135;;;;tx.sp135;
usatxs;TX;TXSpr136;;;;tx.sp136;
usatxs;TX;TXSpr137;;;;tx.sp137;
usatxs;TX;TXSpr138;;;;tx.sp138;
usatxs;TX;TXSpr139;;;;tx.sp139;
usatxs;TX;TXSpr140;;;;tx.sp140;
usatxs;TX;TXSpr144;;;;tx.sp144;
usatxs;TX;TXSpr146;;;;tx.sp146;
usatxs;TX;TXSpr147;;;;tx.sp147;
usatxs;TX;TXSpr148;;;;tx.sp148;
usatxs;TX;TXSpr152;;;;tx.sp152;
usatxs;TX;TXSpr156;;;;tx.sp156;
usatxs;TX;TXSpr158;;;;tx.sp158;
usatxs;TX;TXSpr159;;;;tx.sp159;
usatxs;TX;TXSpr161;;;;tx.sp161;
usatxs;TX;TXSpr162;;;;tx.sp162;
usatxs;TX;TXSpr164;;;;tx.sp164;
usatxs;TX;TXSpr165;;;;tx.sp165;
usatxs;TX;TXSpr169;;;;tx.sp169;
usatxs;TX;TXSpr172;;;;tx.sp172;
usatxs;TX;TXSpr174;;;;tx.sp174;
usatxs;TX;TXSpr176;;;;tx.sp176;
usatxs;TX;TXSpr180;;;;tx.sp180;
usatxs;TX;TXSpr185;;;;tx.sp185;
usatxs;TX;TXSpr186;;;;tx.sp186;
usatxs;TX;TXSpr188;;;;tx.sp188;
usatxs;TX;TXSpr190;;;;tx.sp190;
usatxs;TX;TXSpr191;;;;tx.sp191;
usatxs;TX;TXSpr192;;;;tx.sp192;
usatxs;TX;TXSpr194;;;;tx.sp194;
usatxs;TX;TXSpr195;;;;tx.sp195;
usatxs;TX;TXSpr196;;;;tx.sp196;
usatxs;TX;TXSpr197;;;;tx.sp197;
usatxs;TX;TXSpr199;;;;tx.sp199;
usatxs;TX;TXSpr202;;;;tx.sp202;
usatxs;TX;TXSpr203;;;;tx.sp203;
usatxs;TX;TXSpr206;;;;tx.sp206;
usatxs;TX;TXSpr213;;;;tx.sp213;
usatxs;TX;TXSpr215;;;;tx.sp215;
usatxs;TX;TXSpr216;;;;tx.sp216;
usatxs;TX;TXSpr228;;;;tx.sp228;
usatxs;TX;TXSpr231;;;;tx.sp231;
usatxs;TX;TXSpr233;;;;tx.sp233;
usatxs;TX;TXSpr234;;;;tx.sp234;
usatxs;TX;TXSpr239;;;;tx.sp239;
usatxs;TX;TXSpr240;;;;tx.sp240;
usatxs;TX;TXSpr242;;;;tx.sp242;
usatxs;TX;TXSpr244;;;;tx.sp244;
usatxs;TX;TXSpr245;;;;tx.sp245;
usatxs;TX;TXSpr246;;;;tx.sp246;
usatxs;TX;TXSpr247;;;;tx.sp247;
usatxs;TX;TXSpr248;;;;tx.sp248;
usatxs;TX;TXSpr259;;;;tx.sp259;
usatxs;TX;TXSpr260;;;;tx.sp260;
usatxs;TX;TXSpr261;;;;tx.sp261;
usatxs;TX;TXSpr263;;;;tx.sp263;
usatxs;TX;TXSpr264;;;;tx.sp264;
usatxs;TX;TXSpr272;;;;tx.sp272;
usatxs;TX;TXSpr273;;;;tx.sp273;
usatxs;TX;TXSpr277;;;;tx.sp277;
usatxs;TX;TXSpr278;;;;tx.sp278;
usatxs;TX;TXSpr280;;;;tx.sp280;
usatxs;TX;TXSpr284;;;;tx.sp284;
usatxs;TX;TXSpr290;;;;tx.sp290;
usatxs;TX;TXSpr294;;;;tx.sp294;
usatxs;TX;TXSpr297;;;;tx.sp297;
usatxs;TX;TXSpr298;;;;tx.sp298;
usatxs;TX;TXSpr299;;;;tx.sp299;
usatxs;TX;TXSpr302;;;;tx.sp302;
usatxs;TX;TXSpr303;;;;tx.sp303;
usatxs;TX;TXSpr303;;Dal;Dallas;tx.sp303dal;
usatxs;TX;TXSpr309;;;;tx.sp309;
usatxs;TX;TXSpr311;;;;tx.sp311;
usatxs;TX;TXSpr312;;;;tx.sp312;
usatxs;TX;TXSpr316;;;;tx.sp316;
usatxs;TX;TXSpr317;;;;tx.sp317;
usatxs;TX;TXSpr324;;;;tx.sp324;
