systemName;route;banner;groupName;roots
usaus;US1;;;fl.us001,ga.us001,sc.us001,nc.us001,va.us001,dc.us001,md.us001,pa.us001,nj.us001,ny.us001,ct.us001,ri.us001,ma.us001,nh.us001,me.us001
usaus;US2;;Washington - Michigan;wa.us002,id.us002,mt.us002,nd.us002,mn.us002,wi.us002,mi.us002iro,wi.us002flo,mi.us002
usaus;US2;;New York - Maine;ny.us002,vt.us002,nh.us002,me.us002
usaus;US3;;;ma.us003,nh.us003
usaus;US4;;;ny.us004,vt.us004,nh.us004
usaus;US5;;;ct.us005,ma.us005,vt.us005
usaus;US6;;;ca.us006,nv.us006,ut.us006,co.us006,ne.us006,ia.us006,il.us006,in.us006,oh.us006,pa.us006,ny.us006,ct.us006,ri.us006,ma.us006
usaus;US6N;;;pa.us006n
usaus;US7;;;ct.us007,ma.us007,vt.us007
usaus;US8;;;mn.us008,wi.us008,mi.us008
usaus;US9;;Delaware;de.us009
usaus;US9;;New Jersey - New York;nj.us009,ny.us009
usaus;US9W;;;nj.us009w,ny.us009w
usaus;US10;;North Dakota - Wisconsin;nd.us010,mn.us010,wi.us010
usaus;US10;;Michigan;mi.us010
usaus;US11;;Louisiana - Tennessee;la.us011,ms.us011,al.us011,ga.us011,tn.us011
usaus;US11;;Virginia - New York;va.us011,wv.us011,md.us011,pa.us011,ny.us011
usaus;US11E;;;tn.us011e,va.us011e
usaus;US11W;;;tn.us011w,va.us011w
usaus;US12;;;wa.us012,id.us012,mt.us012,nd.us012,sd.us012,mn.us012,wi.us012,il.us012,in.us012,mi.us012
usaus;US13;;;nc.us013,va.us013,md.us013,de.us013,pa.us013
usaus;US14;;;wy.us014,sd.us014,mn.us014,wi.us014,il.us014
usaus;US15;;;sc.us015,nc.us015,va.us015,md.us015,pa.us015,ny.us015
usaus;US16;;;wy.us016,sd.us016
usaus;US17;;;fl.us017,ga.us017,sc.us017,nc.us017,va.us017
usaus;US18;;;wy.us018,sd.us018,ia.us018,wi.us018
usaus;US19;;Florida - North Carolina;fl.us019,ga.us019,nc.us019
usaus;US19;;Tennessee - Pennsylvania;tn.us019,va.us019,wv.us019,pa.us019
usaus;US19E;;;tn.us019e,nc.us019e
usaus;US19W;;;tn.us019w,nc.us019w
usaus;US20;;;or.us020,id.us020,mt.us020,wy.us020,ne.us020,ia.us020,il.us020,in.us020,oh.us020,pa.us020,ny.us020,ma.us020
usaus;US21;;;sc.us021,nc.us021,va.us021
usaus;US22;;;oh.us022,wv.us022,pa.us022,nj.us022
usaus;US23;;;fl.us023,ga.us023,nc.us023,tn.us023,va.us023,ky.us023,oh.us023,mi.us023
usaus;US24;;;co.us024,ks.us024,mo.us024,il.us024,in.us024,oh.us024,mi.us024
usaus;US25;;Georgia - Tennessee;ga.us025,sc.us025,nc.us025,tn.us025
usaus;US25;;Kentucky;ky.us025
usaus;US25E;;;tn.us025e,ky.us025e
usaus;US25W;;;tn.us025w,ky.us025w
usaus;US26;;;or.us026,id.us026,wy.us026,ne.us026
usaus;US27;;;fl.us027,ga.us027,tn.us027,ky.us027,oh.us027,in.us027
usaus;US29;;;fl.us029,al.us029,ga.us029,sc.us029,nc.us029,va.us029,dc.us029,md.us029
usaus;US30;;;or.us030,id.us030,wy.us030,ne.us030,ia.us030,il.us030,in.us030,oh.us030,wv.us030,pa.us030,nj.us030
usaus;US31;;Alabama - Tennessee;al.us031,tn.us031
usaus;US31;;Kentucky - Michigan;ky.us031,in.us031,mi.us031
usaus;US31E;;;tn.us031e,ky.us031e
usaus;US31W;;;tn.us031w,ky.us031w
usaus;US33;;;va.us033,wv.us033,oh.us033,in.us033
usaus;US34;;;co.us034,ne.us034,ia.us034,il.us034
usaus;US35;;;wv.us035,oh.us035,in.us035
usaus;US36;;;co.us036,ks.us036,mo.us036,il.us036,in.us036,oh.us036
usaus;US40;;;ut.us040,co.us040,ks.us040,mo.us040,il.us040,in.us040,oh.us040,wv.us040,pa.us040,md.us040,de.us040,nj.us040
usaus;US41;;;fl.us041,ga.us041,tn.us041,ky.us041,in.us041,il.us041,wi.us041,mi.us041
usaus;US42;;;ky.us042,oh.us042
usaus;US43;;;al.us043,tn.us043
usaus;US44;;;ny.us044,ct.us044,ri.us044,ma.us044
usaus;US45;;Alabama - S. Tennessee;ms.us045,al.us045,tn.us045
usaus;US45;;N. Tennessee - Michigan;tn.us045sfu,ky.us045,il.us045,wi.us045,mi.us045
usaus;US45E;;;tn.us045e
usaus;US45W;;;tn.us045w
usaus;US46;;;nj.us046
usaus;US48;;;wv.us048,va.us048
usaus;US49;;S. Mississippi;ms.us049
usaus;US49;;N. Mississippi - Arkansas;ms.us049cla,ar.us049
usaus;US49E;;;ms.us049e
usaus;US49W;;;ms.us049w
usaus;US50;;;ca.us050,nv.us050,ut.us050,co.us050,ks.us050,mo.us050,il.us050,in.us050,oh.us050,wv.us050,md.us050red,wv.us050rom,va.us050,dc.us050,md.us050
usaus;US51;;;la.us051,ms.us051,tn.us051,ky.us051,il.us051,wi.us051
usaus;US52;;;nd.us052,mn.us052,ia.us052,il.us052,in.us052,oh.us052,wv.us052ken,ky.us052tug,wv.us052goo,ky.us052,wv.us052,va.us052,nc.us052,sc.us052
usaus;US53;;;mn.us053,wi.us053
usaus;US54;;;tx.us054elp,nm.us054,tx.us054,ok.us054,ks.us054,mo.us054,il.us054
usaus;US56;;;nm.us056,ok.us056,ks.us056,mo.us056
usaus;US57;;;tx.us057
usaus;US58;;;tn.us058,va.us058
usaus;US59;;;tx.us059,ar.us059,ok.us059,ks.us059,mo.us059,ia.us059,mn.us059
usaus;US60;;;az.us060,nm.us060,tx.us060,ok.us060,mo.us060,il.us060,ky.us060,wv.us060,va.us060
usaus;US61;;;la.us061,ms.us061,tn.us061,ar.us061,mo.us061,ia.us061,wi.us061,mn.us061
usaus;US62;;;nm.us062,tx.us062elp,tx.us062,ok.us062,ar.us062,mo.us062,il.us062,ky.us062,oh.us062,pa.us062,ny.us062
usaus;US63;;;la.us063,ar.us063,mo.us063,ia.us063,mn.us063,wi.us063
