System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
usaush;IA;HistoricUS6;;Dur;Durant;ia.us006hisdur;
usaush;OR;HistoricUS30;;Dal;The Dalles;or.us030hisdal;
usaush;CA;HistoricUS40;;Ros;Roseville;ca.us040hisros;
usaush;CA;HistoricUS40;;Aub;Auburn;ca.us040hisaub;
usaush;CA;HistoricUS40;;Tru;Truckee;ca.us040histru;
usaush;CA;HistoricUS66;;Hol;Hollywood;ca.us066hishol;
usaush;CA;HistoricUS66;;Azu;Azusa;ca.us066hisazu;
usaush;CA;HistoricUS66;;Caj;Cajon Pass;ca.us066hiscaj;
usaush;CA;HistoricUS66;;Bar;Barstow;ca.us066hisbar;
usaush;CA;HistoricUS66;;Nee;Needles;ca.us066hisnee;
usaush;AZ;HistoricUS66;;Kin;Kingman;az.us066hiskin;
usaush;AZ;HistoricUS66;;Ash;Ash Fork;az.us066hisash;
usaush;AZ;HistoricUS66;;Wil;Williams;az.us066hiswil;
usaush;AZ;HistoricUS66;;Fla;Flagstaff;az.us066hisfla;
usaush;AZ;HistoricUS66;;Win;Winslow;az.us066hiswin;
usaush;AZ;HistoricUS66;;Jos;Joseph City;az.us066hisjos;
usaush;AZ;HistoricUS66;;Hol;Holbrook;az.us066hishol;
usaush;AZ;HistoricUS66;;Lup;Lupton;az.us066hislup;
usaush;NM;HistoricUS66;;Gal;Gallup;nm.us066hisgal;
usaush;NM;HistoricUS66;;Gra;Grants;nm.us066hisgra;
usaush;NM;HistoricUS66;;Alb;Alberquerque;nm.us066hisalb;
usaush;NM;HistoricUS66;;SFe;(PRE-1937) Santa Fe;nm.us066hissfe;
usaush;NM;HistoricUS66;;San;Santa Rosa;nm.us066hissan;
usaush;NM;HistoricUS66;;Tuc;Tucumcari;nm.us066histuc;
usaush;TX;HistoricUS66;;Gle;Glenrio;tx.us066hisgle;
usaush;TX;HistoricUS66;;Adr;Adrian;tx.us066hisadr;
usaush;TX;HistoricUS66;;Veg;Vega;tx.us066hisveg;
usaush;TX;HistoricUS66;;Con;Conway;tx.us066hiscon;
usaush;TX;HistoricUS66;;Gro;Groom;tx.us066hisgro;
usaush;TX;HistoricUS66;;Ala;Alanreed;tx.us066hisala;
usaush;TX;HistoricUS66;;McL;McLean;tx.us066hismcl;
usaush;TX;HistoricUS66;;Sha;Shamrock;tx.us066hissha;
usaush;KS;HistoricUS66;;Gal;Galena;ks.us066hisgal;
usaush;MO;HistoricUS66;;StL;St Louis;mo.us066hisstl;
usaush;MO;HistoricUS66;;EJo;(1940-1975) (East) Joplin;mo.us066hisejo;
usaush;MO;HistoricUS66;;NJo;(1930-1955) (North) Joplin;mo.us066hisnjo;
usaush;MO;HistoricUS66;;Car;(1954-1975) Carthage;mo.us066hiscar;
usaush;MO;HistoricUS66;;NSp;(1936-1970) (North) Springfield;mo.us066hisnsp;
usaush;MO;HistoricUS66;;ESp;(1926-1928) (East) Springfield;mo.us066hisesp;
usaush;MO;HistoricUS66;;Laq;Laquey;mo.us066hislaq;
usaush;MO;HistoricUS66;;Man;(1926-1933) Manchester;mo.us066hisman;
usaush;MO;HistoricUS66;;Flo;(1936-1965) Florissant;mo.us066hisflo;
usaush;IL;HistoricUS66;;Chi;Chicago;il.us066hischi;
usaush;IL;HistoricUS66;;Liv;(1940-1977) Livingstone;il.us066hisliv;
usaush;IL;HistoricUS66;;Car;(1926-1930) Carlingville;il.us066hiscar;
usaush;IL;HistoricUS66;;Mou;(1930-1940) Mount Olive;il.us066hismou;
usaush;IL;HistoricUS66;;Lic;(1930-1940) Lichfield;il.us066hislic;
usaush;IL;HistoricUS66;Spr;Wil;Williamsville;il.us066hissprwil;
usaush;IL;HistoricUS66;;Lin;(1930-1940) Lincoln;il.us066hislin;
usaush;CA;HistoricUS80;;San;San Diego;ca.us080hissan;
usaush;CA;HistoricUS80;;Caj;El Cajon;ca.us080hiscaj;
usaush;CA;HistoricUS80;;Jac;Jacumba;ca.us080hisjac;
usaush;CA;HistoricUS80;;Cen;El Centro;ca.us080hiscen;
usaush;CA;HistoricUS80;;Fel;Felicity;ca.us080hisfel;
usaush;CA;HistoricUS80;;Win;Winterhaven;ca.us080hiswin;
usaush;CA;HistoricUS99;;Ind;Indio;ca.us099hisind;
usaush;CA;HistoricUS99;;Los;Los Angeles;ca.us099hislos;
usaush;CA;HistoricUS99;;Dun;Dunsmuir;ca.us099hisdun;
usaush;CA;HistoricUS99;;Wee;Weed;ca.us099hiswee;
usaush;CA;HistoricUS101;;San;San Diego;ca.us101hissan;
usaush;CA;HistoricUS395;;San;San Diego;ca.us395hissan;
usaush;CA;HistoricUS395;;Pow;Poway;ca.us395hispow;
usaush;CA;HistoricUS395;;Tem;Temecula;ca.us395histem;
