systemName;region;route;banner;abbrev;city;root;altRouteNames
usaut;UT;UT7;;;;ut.ut007;UT7San
usaut;UT;UT8;;;;ut.ut008;
usaut;UT;UT9;;;;ut.ut009;
usaut;UT;UT10;;;;ut.ut010;
usaut;UT;UT12;;;;ut.ut012;
usaut;UT;UT13;;;;ut.ut013;
usaut;UT;UT14;;;;ut.ut014;
usaut;UT;UT16;;;;ut.ut016;
usaut;UT;UT17;;;;ut.ut017;
usaut;UT;UT18;;;;ut.ut018;
usaut;UT;UT19;;;;ut.ut019;
usaut;UT;UT20;;;;ut.ut020;
usaut;UT;UT21;;;;ut.ut021;
usaut;UT;UT22;;;;ut.ut022;
usaut;UT;UT23;;;;ut.ut023;
usaut;UT;UT24;;;;ut.ut024;
usaut;UT;UT25;;;;ut.ut025;
usaut;UT;UT26;;;;ut.ut026;
usaut;UT;UT28;;;;ut.ut028;
usaut;UT;UT29;;;;ut.ut029;
usaut;UT;UT30;;;;ut.ut030;
usaut;UT;UT31;;;;ut.ut031;
usaut;UT;UT32;;;;ut.ut032;
usaut;UT;UT34;;;;ut.ut034;
usaut;UT;UT35;;;;ut.ut035;
usaut;UT;UT36;;;;ut.ut036;
usaut;UT;UT37;;;;ut.ut037;
usaut;UT;UT38;;;;ut.ut038;
usaut;UT;UT39;;;;ut.ut039;
usaut;UT;UT42;;;;ut.ut042;
usaut;UT;UT43;;;;ut.ut043;
usaut;UT;UT44;;;;ut.ut044;
usaut;UT;UT45;;;;ut.ut045;
usaut;UT;UT46;;;;ut.ut046;
usaut;UT;UT48;;;;ut.ut048;
usaut;UT;UT51;;;;ut.ut051;
usaut;UT;UT52;;;;ut.ut052;
usaut;UT;UT53;;;;ut.ut053;
usaut;UT;UT54;;;;ut.ut054;
usaut;UT;UT55;;;;ut.ut055;
usaut;UT;UT56;;;;ut.ut056;
usaut;UT;UT57;;;;ut.ut057;
usaut;UT;UT58;;;;ut.ut058;
usaut;UT;UT59;;;;ut.ut059;
usaut;UT;UT60;;;;ut.ut060;
usaut;UT;UT61;;;;ut.ut061;
