systemName;region;route;banner;abbrev;city;root;altRouteNames
usava;VA;VA2;;;;va.va002;
usava;VA;VA3;;;;va.va003;
usava;VA;VA3;Bus;Fre;Fredericksburg;va.va003busfre;
usava;VA;VA3;Bus;War;Warsaw;va.va003buswar;
usava;VA;VA4;;;;va.va004;
usava;VA;VA5;;;;va.va005;
usava;VA;VA6;;;;va.va006;
usava;VA;VA6;Wye;Lov;Lovingston;va.va006wyelov;
usava;VA;VA7;;;;va.va007;
usava;VA;VA7;Bus;Ber;Berryville;va.va007busber;
usava;VA;VA7;Bus;Lee;Leesburg;va.va007buslee;
usava;VA;VA7;Bus;Pur;Purcellville;va.va007buspur;
usava;VA;VA8;;;;va.va008;
usava;VA;VA8;Bus;Stu;Stuart;va.va008busstu;
usava;VA;VA9;;;;va.va009;
usava;VA;VA10;;;;va.va010;
usava;VA;VA10;Bus;Smi;Smithfield;va.va010bussmi;
usava;VA;VA13;;;;va.va013;
usava;VA;VA14;;;;va.va014;
usava;VA;VA16;;;;va.va016;
usava;VA;VA16;Alt;Taz;Tazewell;va.va016alttaz;
usava;VA;VA18;;;;va.va018;
usava;VA;VA20;;;;va.va020;
usava;VA;VA20;Bus;Ora;Orange;va.va020busora;
usava;VA;VA22;;;;va.va022;
usava;VA;VA24;;;;va.va024;
usava;VA;VA26;;;;va.va026;
usava;VA;VA27;;;;va.va027;
usava;VA;VA28;;;;va.va028;
usava;VA;VA30;;;;va.va030;
usava;VA;VA31;;;;va.va031;
usava;VA;VA31;;Jam;Jamestown;va.va031jam;
usava;VA;VA32;;;;va.va032;
usava;VA;VA33;;;;va.va033;
usava;VA;VA34;;;;va.va034;
usava;VA;VA35;;;;va.va035;
usava;VA;VA36;;;;va.va036;
usava;VA;VA36;Trk;Pet;Petersburg;va.va036trkpet;
usava;VA;VA37;;;;va.va037;
usava;VA;VA38;;;;va.va038;
usava;VA;VA39;;;;va.va039;
usava;VA;VA39;Alt;Gos;Goshen;va.va039altgos;
usava;VA;VA40;;;;va.va040;
usava;VA;VA40;Bus;Sto;Stony Creek;va.va040bussto;
usava;VA;VA40;Trk;Vic;Victoria;va.va040trkvic;
usava;VA;VA41;;;;va.va041;
usava;VA;VA42;;;;va.va042;
usava;VA;VA42;;Har;Harrisonburg;va.va042har;
usava;VA;VA42;;New;New Castle;va.va042new;
usava;VA;VA42;Bus;Day;Dayton;va.va042busday;
usava;VA;VA43;;;;va.va043;
usava;VA;VA43;;Buc;Buchanan;va.va043buc;
usava;VA;VA45;;;;va.va045;
usava;VA;VA46;;;;va.va046;
usava;VA;VA46;Trk;Law;Lawrenceville;va.va046trklaw;
usava;VA;VA47;;;;va.va047;
usava;VA;VA49;;;;va.va049;
usava;VA;VA49;Trk;Vic;Victoria;va.va049trkvic;
usava;VA;VA51;;;;va.va051;
usava;VA;VA53;;;;va.va053;
usava;VA;VA54;;;;va.va054;
usava;VA;VA55;;;;va.va055;
usava;VA;VA56;;;;va.va056;
usava;VA;VA57;;;;va.va057;
usava;VA;VA57;Alt;Sta;Stanleytown;va.va057altsta;
usava;VA;VA59;;;;va.va059;
usava;VA;VA61;;;;va.va061;
usava;VA;VA62;;;;va.va062;
usava;VA;VA63;;;;va.va063;
usava;VA;VA65;;;;va.va065;
usava;VA;VA67;;;;va.va067;
usava;VA;VA68;;;;va.va068;
usava;VA;VA69;;;;va.va069;
usava;VA;VA70;;;;va.va070;
usava;VA;VA71;;;;va.va071;
usava;VA;VA72;;;;va.va072;
usava;VA;VA73;;;;va.va073;
usava;VA;VA74;;;;va.va074;
usava;VA;VA75;;;;va.va075;
usava;VA;VA76;;;;va.va076;
usava;VA;VA78;;;;va.va078;
usava;VA;VA79;;;;va.va079;
