systemName;region;route;banner;abbrev;city;root;altRouteNames
usavi;VI;VI10;;;;vi.vi010;
usavi;VI;VI10A;;;;vi.vi010a;
usavi;VI;VI20;;;;vi.vi020;
usavi;VI;VI30;;;;vi.vi030;
usavi;VI;VI32;;;;vi.vi032;
usavi;VI;VI33;;;;vi.vi033;
usavi;VI;VI35;;;;vi.vi035;
usavi;VI;VI37;;;;vi.vi037;
usavi;VI;VI38;;;;vi.vi038;
usavi;VI;VI39;;;;vi.vi039;
usavi;VI;VI40;;;;vi.vi040;
usavi;VI;VI42;;;;vi.vi042;
usavi;VI;VI58;;;;vi.vi058;
usavi;VI;VI60;;;;vi.vi060;
usavi;VI;VI62;;;;vi.vi062;
usavi;VI;VI63;;;;vi.vi063;
usavi;VI;VI64;;;;vi.vi064;
usavi;VI;VI65;;;;vi.vi065;
usavi;VI;VI66;;;;vi.vi066;
usavi;VI;VI68;;;;vi.vi068;
usavi;VI;VI69;;;;vi.vi069;
usavi;VI;VI70;;;;vi.vi070;
usavi;VI;VI72;;;;vi.vi072;
usavi;VI;VI73;;;;vi.vi073;
usavi;VI;VI74;;;;vi.vi074;
usavi;VI;VI75;;;;vi.vi075;
usavi;VI;VI76;;;;vi.vi076;
usavi;VI;VI78;;;;vi.vi078;
usavi;VI;VI79;;;;vi.vi079;
usavi;VI;VI80;;;;vi.vi080;
usavi;VI;VI81;;;;vi.vi081;
usavi;VI;VI82;;;;vi.vi082;
usavi;VI;VI83;;;;vi.vi083;
usavi;VI;VI85;;;;vi.vi085;
usavi;VI;VI104;;;;vi.vi104;
usavi;VI;VI107;;;;vi.vi107;
usavi;VI;VI108;;;;vi.vi108;
usavi;VI;VI109;;;;vi.vi109;
usavi;VI;VI206;;;;vi.vi206;
usavi;VI;VI301;;;;vi.vi301;
usavi;VI;VI302;;;;vi.vi302;
usavi;VI;VI303;;;;vi.vi303;
usavi;VI;VI308;;;;vi.vi308;
usavi;VI;VI313;;;;vi.vi313;
usavi;VI;VI314;;;;vi.vi314;
usavi;VI;VI315;;;;vi.vi315;
usavi;VI;VI322;;;;vi.vi322;
usavi;VI;VI331;;;;vi.vi331;
usavi;VI;VI332;;;;vi.vi332;
usavi;VI;VI333;;;;vi.vi333;
usavi;VI;VI334;;;;vi.vi334;
usavi;VI;VI379;;;;vi.vi379;
usavi;VI;VI382;;;;vi.vi382;
usavi;VI;VI384;;;;vi.vi384;
usavi;VI;VI386;;;;vi.vi386;
usavi;VI;VI394;;;;vi.vi394;
usavi;VI;VI404;;;;vi.vi404;
usavi;VI;VI405;;;;vi.vi405;
usavi;VI;VI622;;;;vi.vi622;
usavi;VI;VI624;;;;vi.vi624;
usavi;VI;VI661;;;;vi.vi661;
usavi;VI;VI663;;;;vi.vi663;
usavi;VI;VI665;;;;vi.vi665;
usavi;VI;VI667;;;;vi.vi667;
usavi;VI;VI669;;;;vi.vi669;
usavi;VI;VI681;;;;vi.vi681;
usavi;VI;VI682;;;;vi.vi682;
usavi;VI;VI701;;;;vi.vi701;
usavi;VI;VI702;;;;vi.vi702;
usavi;VI;VI704;;;;vi.vi704;
usavi;VI;VI705;;;;vi.vi705;
usavi;VI;VI707;;;;vi.vi707;
usavi;VI;VI708;;;;vi.vi708;
usavi;VI;VI709;;;;vi.vi709;
usavi;VI;VI750;;;;vi.vi750;
usavi;VI;VI751;;;;vi.vi751;
usavi;VI;VI752;;;;vi.vi752;
usavi;VI;VI753;;Gol;Golden Rock;vi.vi753gol;
usavi;VI;VI753;;;Christiansted;vi.vi753;
usavi;VI;VI756;;;;vi.vi756;
usavi;VI;VI763;;;;vi.vi763;
usavi;VI;VI765;;;;vi.vi765;
usavi;VI;VI811;;;;vi.vi811;
usavi;VI;VI7010;;;;vi.vi7010;
usavi;VI;VI7013;;;;vi.vi7013;
usavi;VI;VI7025;;;;vi.vi7025;
usavi;VI;VI7027;;;;vi.vi7027;
usavi;VI;VI7029;;;;vi.vi7029;
