systemName;region;route;banner;abbrev;city;root;altRouteNames
usawv;WV;WV2;;;;wv.wv002;
usawv;WV;WV2;Alt;Mou;Moundsville;wv.wv002altmou;
usawv;WV;WV3;;;;wv.wv003;
usawv;WV;WV4;;;;wv.wv004;
usawv;WV;WV5;;;;wv.wv005;
usawv;WV;WV7;;;;wv.wv007;
usawv;WV;WV8;;;;wv.wv008;
usawv;WV;WV9;;;;wv.wv009;
usawv;WV;WV10;;;;wv.wv010;
usawv;WV;WV10;Alt;Bar;Barboursville;wv.wv010altbar;
usawv;WV;WV12;;;;wv.wv012;
usawv;WV;WV14;;;;wv.wv014;
usawv;WV;WV15;;;;wv.wv015;
usawv;WV;WV16;;;;wv.wv016;
usawv;WV;WV16;Trk;Har;Harrisville;wv.wv016trkhar;
usawv;WV;WV17;;;;wv.wv017;
usawv;WV;WV18;;;;wv.wv018;
usawv;WV;WV20;;;;wv.wv020;
usawv;WV;WV23;;;;wv.wv023;
usawv;WV;WV24;;;;wv.wv024;
usawv;WV;WV25;;;;wv.wv025;
usawv;WV;WV26;;;;wv.wv026;
usawv;WV;WV27;;;;wv.wv027;
usawv;WV;WV27;Alt;Fol;Follansbee;wv.wv027altfol;
usawv;WV;WV28;;;;wv.wv028;
usawv;WV;WV28;Alt;Rid;Ridgeley;wv.wv028altrid;
usawv;WV;WV29;;;;wv.wv029;
usawv;WV;WV31;;;;wv.wv031;
usawv;WV;WV32;;;;wv.wv032;
usawv;WV;WV34;;;;wv.wv034;
usawv;WV;WV34;Alt;Hur;Hurricane;wv.wv034althur;
usawv;WV;WV36;;;;wv.wv036;
usawv;WV;WV37;;;;wv.wv037;
usawv;WV;WV38;;;;wv.wv038;
usawv;WV;WV39;;;;wv.wv039;
usawv;WV;WV41;;;;wv.wv041;
usawv;WV;WV42;;;;wv.wv042;
usawv;WV;WV43;;;;wv.wv043;
usawv;WV;WV44;;;;wv.wv044;
usawv;WV;WV45;;;;wv.wv045;
usawv;WV;WV45;Alt;She;Shepherdstown;wv.wv045altshe;
usawv;WV;WV46;;Elk;Elk Garden;wv.wv046elk;
usawv;WV;WV46;;;Keyser;wv.wv046;
usawv;WV;WV47;;;;wv.wv047;
usawv;WV;WV49;;;;wv.wv049;
usawv;WV;WV51;;;;wv.wv051;
usawv;WV;WV53;;;;wv.wv053;
usawv;WV;WV54;;;;wv.wv054;
usawv;WV;WV55;;;;wv.wv055;
usawv;WV;WV57;;;;wv.wv057;
usawv;WV;WV58;;;;wv.wv058;
usawv;WV;WV61;;;;wv.wv061;
usawv;WV;WV62;;;;wv.wv062;
usawv;WV;WV63;;;;wv.wv063;
usawv;WV;WV65;;;;wv.wv065;
usawv;WV;WV66;;;;wv.wv066;
usawv;WV;WV67;;;;wv.wv067;
usawv;WV;WV68;;;;wv.wv068;
usawv;WV;WV69;;;;wv.wv069;
usawv;WV;WV71;;;;wv.wv071;
usawv;WV;WV72;;;;wv.wv072;
usawv;WV;WV73;;;;wv.wv073;
usawv;WV;WV74;;;;wv.wv074;
usawv;WV;WV75;;;;wv.wv075;
usawv;WV;WV76;;;;wv.wv076;
usawv;WV;WV80;;;;wv.wv080;
usawv;WV;WV82;;;;wv.wv082;
usawv;WV;WV83;;;;wv.wv083;
usawv;WV;WV84;;;;wv.wv084;
usawv;WV;WV85;;;;wv.wv085;
usawv;WV;WV86;;;;wv.wv086;
usawv;WV;WV87;;;;wv.wv087;
usawv;WV;WV88;;;;wv.wv088;
usawv;WV;WV90;;;;wv.wv090;
usawv;WV;WV92;;;;wv.wv092;
usawv;WV;WV93;;;;wv.wv093;
usawv;WV;WV94;;;;wv.wv094;
usawv;WV;WV95;;;;wv.wv095;
usawv;WV;WV97;;;;wv.wv097;
usawv;WV;WV98;;;;wv.wv098;
usawv;WV;WV99;;;;wv.wv099;
usawv;WV;WV100;;;;wv.wv100;
usawv;WV;WV102;;Poc;Pocahontas, VA;wv.wv102poc;
usawv;WV;WV102;;;Nemours;wv.wv102;
usawv;WV;WV103;;;;wv.wv103;
usawv;WV;WV104;;;;wv.wv104;
usawv;WV;WV105;;;;wv.wv105;
usawv;WV;WV107;;;;wv.wv107;
usawv;WV;WV112;;;;wv.wv112;
usawv;WV;WV114;;;;wv.wv114;
usawv;WV;WV115;;;;wv.wv115;
usawv;WV;WV121;;;;wv.wv121;
usawv;WV;WV122;;;;wv.wv122;
usawv;WV;WV123;;;;wv.wv123;
usawv;WV;WV127;;;;wv.wv127;
usawv;WV;WV129;;;;wv.wv129;
usawv;WV;WV131;;;;wv.wv131;
usawv;WV;WV150;;;;wv.wv150;
usawv;WV;WV152;;;;wv.wv152;
usawv;WV;WV161;;;;wv.wv161;
usawv;WV;WV180;;;;wv.wv180;
usawv;WV;WV193;;;;wv.wv193;
usawv;WV;WV210;;;;wv.wv210;
usawv;WV;WV211;;;;wv.wv211;
usawv;WV;WV214;;;;wv.wv214;
usawv;WV;WV218;;;;wv.wv218;
usawv;WV;WV230;;;;wv.wv230;
usawv;WV;WV259;;;;wv.wv259;
usawv;WV;WV270;;;;wv.wv270;
usawv;WV;WV273;;;;wv.wv273;
usawv;WV;WV279;;;;wv.wv279;
usawv;WV;WV305;;;;wv.wv305;
usawv;WV;WV307;;;;wv.wv307;
usawv;WV;WV310;;;;wv.wv310;
usawv;WV;WV311;;Swe;Sweet Springs;wv.wv311swe;
usawv;WV;WV311;;;Alleghany, VA;wv.wv311;
usawv;WV;WV331;;;;wv.wv331;
usawv;WV;WV480;;;;wv.wv480;
usawv;WV;WV501;;;;wv.wv501;
usawv;WV;WV527;;;;wv.wv527;
