systemName;route;banner;groupName;roots
usawv;WV2;;;wv.wv002
usawv;WV2;Alt;Moundsville;wv.wv002altmou
usawv;WV3;;;wv.wv003
usawv;WV4;;;wv.wv004
usawv;WV5;;;wv.wv005
usawv;WV7;;;wv.wv007
usawv;WV8;;;wv.wv008
usawv;WV9;;;wv.wv009
usawv;WV10;;;wv.wv010
usawv;WV10;Alt;Barboursville;wv.wv010altbar
usawv;WV12;;;wv.wv012
usawv;WV14;;;wv.wv014
usawv;WV15;;;wv.wv015
usawv;WV16;;;wv.wv016
usawv;WV16;Trk;Harrisville;wv.wv016trkhar
usawv;WV17;;;wv.wv017
usawv;WV18;;;wv.wv018
usawv;WV20;;;wv.wv020
usawv;WV23;;;wv.wv023
usawv;WV24;;;wv.wv024
usawv;WV25;;;wv.wv025
usawv;WV26;;;wv.wv026
usawv;WV27;;;wv.wv027
usawv;WV27;Alt;Follansbee;wv.wv027altfol
usawv;WV28;;;wv.wv028
usawv;WV28;Alt;Ridgeley;wv.wv028altrid
usawv;WV29;;;wv.wv029
usawv;WV31;;;wv.wv031
usawv;WV32;;;wv.wv032
usawv;WV34;;;wv.wv034
usawv;WV34;Alt;Hurricane;wv.wv034althur
usawv;WV36;;;wv.wv036
usawv;WV37;;;wv.wv037
usawv;WV38;;;wv.wv038
usawv;WV39;;;wv.wv039
usawv;WV41;;;wv.wv041
usawv;WV42;;;wv.wv042
usawv;WV43;;;wv.wv043
usawv;WV44;;;wv.wv044
usawv;WV45;;;wv.wv045
usawv;WV45;Alt;Shepherdstown;wv.wv045altshe
usawv;WV46;;Elk Garden;wv.wv046elk
usawv;WV46;;Keyser;wv.wv046
usawv;WV47;;;wv.wv047
usawv;WV49;;;wv.wv049
usawv;WV51;;;wv.wv051
usawv;WV53;;;wv.wv053
usawv;WV54;;;wv.wv054
usawv;WV55;;;wv.wv055
usawv;WV57;;;wv.wv057
usawv;WV58;;;wv.wv058
usawv;WV61;;;wv.wv061
usawv;WV62;;;wv.wv062
usawv;WV63;;;wv.wv063
usawv;WV65;;;wv.wv065
usawv;WV66;;;wv.wv066
usawv;WV67;;;wv.wv067
usawv;WV68;;;wv.wv068
usawv;WV69;;;wv.wv069
usawv;WV71;;;wv.wv071
usawv;WV72;;;wv.wv072
usawv;WV73;;;wv.wv073
usawv;WV74;;;wv.wv074
usawv;WV75;;;wv.wv075
usawv;WV76;;;wv.wv076
usawv;WV80;;;wv.wv080
usawv;WV82;;;wv.wv082
usawv;WV83;;;wv.wv083
usawv;WV84;;;wv.wv084
usawv;WV85;;;wv.wv085
usawv;WV86;;;wv.wv086
usawv;WV87;;;wv.wv087
usawv;WV88;;;wv.wv088
usawv;WV90;;;wv.wv090
usawv;WV92;;;wv.wv092
usawv;WV93;;;wv.wv093
usawv;WV94;;;wv.wv094
usawv;WV95;;;wv.wv095
usawv;WV97;;;wv.wv097
usawv;WV98;;;wv.wv098
usawv;WV99;;;wv.wv099
usawv;WV100;;;wv.wv100
usawv;WV102;;Pocahontas, VA;wv.wv102poc
usawv;WV102;;Nemours;wv.wv102
usawv;WV103;;;wv.wv103
usawv;WV104;;;wv.wv104
usawv;WV105;;;wv.wv105
usawv;WV107;;;wv.wv107
usawv;WV112;;;wv.wv112
usawv;WV114;;;wv.wv114
usawv;WV115;;;wv.wv115
usawv;WV121;;;wv.wv121
usawv;WV122;;;wv.wv122
usawv;WV123;;;wv.wv123
usawv;WV127;;;wv.wv127
usawv;WV129;;;wv.wv129
usawv;WV131;;;wv.wv131
usawv;WV150;;;wv.wv150
usawv;WV152;;;wv.wv152
usawv;WV161;;;wv.wv161
usawv;WV180;;;wv.wv180
usawv;WV193;;;wv.wv193
usawv;WV210;;;wv.wv210
usawv;WV211;;;wv.wv211
usawv;WV214;;;wv.wv214
usawv;WV218;;;wv.wv218
usawv;WV230;;;wv.wv230
usawv;WV259;;;wv.wv259
usawv;WV270;;;wv.wv270
usawv;WV273;;;wv.wv273
usawv;WV279;;;wv.wv279
usawv;WV305;;;wv.wv305
usawv;WV307;;;wv.wv307
usawv;WV310;;;wv.wv310
usawv;WV311;;Sweet Springs;wv.wv311swe
usawv;WV311;;Alleghany, VA;wv.wv311
usawv;WV331;;;wv.wv331
usawv;WV480;;;wv.wv480
usawv;WV501;;;wv.wv501
usawv;WV527;;;wv.wv527
usawv;WV598;;;wv.wv598
usawv;WV601;;;wv.wv601
usawv;WV612;;;wv.wv612
usawv;WV618;;;wv.wv618
usawv;WV622;;;wv.wv622
usawv;WV635;;;wv.wv635
usawv;WV705;;;wv.wv705
usawv;WV817;;;wv.wv817
usawv;WV891;;;wv.wv891
usawv;WV892;;;wv.wv892
usawv;WV901;;;wv.wv901
usawv;WV956;;;wv.wv956
usawv;WV971;;;wv.wv971
