systemName;route;banner;groupName;roots
usawy;WY10;;;wy.wy010
usawy;WY11;;;wy.wy011
usawy;WY12;;;wy.wy012
usawy;WY13;;;wy.wy013
usawy;WY22;;;wy.wy022
usawy;WY24;;;wy.wy024
usawy;WY28;;;wy.wy028
usawy;WY30;;;wy.wy030
usawy;WY31;;;wy.wy031
usawy;WY32;;;wy.wy032
usawy;WY33;;;wy.wy033
usawy;WY34;;;wy.wy034
usawy;WY35;;;wy.wy035
usawy;WY36;;;wy.wy036
usawy;WY37;;;wy.wy037
usawy;WY50;;;wy.wy050
usawy;WY51;;;wy.wy051
usawy;WY59;;;wy.wy059
usawy;WY70;;;wy.wy070bag,co.wy070,wy.wy070
usawy;WY71;;;wy.wy071
usawy;WY72;;;wy.wy072
usawy;WY73;;;wy.wy073
usawy;WY76;;;wy.wy076
usawy;WY77;;;wy.wy077
usawy;WY78;;;wy.wy078
usawy;WY89;;Evanston;wy.wy089eva
usawy;WY89;;Sage;wy.wy089
usawy;WY90;;;wy.wy090
usawy;WY91;;;wy.wy091
usawy;WY92;;;wy.wy092
usawy;WY93;;;wy.wy093
usawy;WY94;;;wy.wy094
usawy;WY95;;Glenrock;wy.wy095gle
usawy;WY95;;Rolling Hills;wy.wy095
usawy;WY96;;;wy.wy096
usawy;WY110;;;wy.wy110
usawy;WY111;;;wy.wy111
usawy;WY112;;;wy.wy112
usawy;WY113;;;wy.wy113
usawy;WY114;;;wy.wy114
usawy;WY116;;;wy.wy116
usawy;WY120;;;wy.wy120
usawy;WY130;;;wy.wy130
usawy;WY131;;;wy.wy131
usawy;WY132;;;wy.wy132
usawy;WY133;;;wy.wy133
usawy;WY134;;;wy.wy134
usawy;WY135;;;wy.wy135
usawy;WY136;;;wy.wy136
usawy;WY139;;;wy.wy139
usawy;WY150;;;wy.wy150
usawy;WY151;;;wy.wy151
usawy;WY154;;;wy.wy154
usawy;WY156;;;wy.wy156
usawy;WY157;;;wy.wy157
usawy;WY158;;;wy.wy158
usawy;WY159;;;wy.wy159
usawy;WY160;;;wy.wy160
usawy;WY161;;;wy.wy161
usawy;WY170;;;wy.wy170
usawy;WY171;;;wy.wy171
usawy;WY172;;;wy.wy172
usawy;WY173;;;wy.wy173
usawy;WY174;;;wy.wy174
usawy;WY175;;;wy.wy175
usawy;WY190;;;wy.wy190
usawy;WY191;;;wy.wy191
usawy;WY192;;;wy.wy192
usawy;WY193;;;wy.wy193
usawy;WY194;;;wy.wy194
usawy;WY196;;;wy.wy196
usawy;WY210;;;wy.wy210
usawy;WY211;;Horse Creek;wy.wy211
usawy;WY211;;Chugwater;wy.wy211chu
usawy;WY212;;;wy.wy212
usawy;WY213;;;wy.wy213
usawy;WY214;;;wy.wy214
usawy;WY215;;;wy.wy215
usawy;WY216;;;wy.wy216
usawy;WY219;;;wy.wy219
usawy;WY220;;;wy.wy220
usawy;WY222;;;wy.wy222
