systemName;route;banner;groupName;roots
wlsb;B390;;;eng.b0390
wlsb;B425;;;eng.b0425
wlsb;B439;;;eng.b0439
wlsb;B3042;;;eng.b3042
wlsb;B3052;;;eng.b3052
wlsb;B3059;;;eng.b3059
wlsb;B3060;;;eng.b3060
wlsb;B3061;;;eng.b3061
wlsb;B3063;;;eng.b3063
wlsb;B3064;;;eng.b3064
wlsb;B3065;;;eng.b3065
wlsb;B3066;;;eng.b3066
wlsb;B3067;;;eng.b3067
wlsb;B3068;;;eng.b3068
wlsb;B3069;;;eng.b3069
wlsb;B3070;;;eng.b3070
wlsb;B3071;;;eng.b3071
wlsb;B3072;;;eng.b3072
wlsb;B3073;;;eng.b3073
wlsb;B3074;;;eng.b3074
wlsb;B3075;;;eng.b3075
wlsb;B3081;;;eng.b3081
wlsb;B3081;;Wincanton (spur);eng.b3081win
wlsb;B3082;;;eng.b3082
wlsb;B3083;;;eng.b3083
wlsb;B3085;;;eng.b3085
wlsb;B3086;;;eng.b3086
wlsb;B3087;;;eng.b3087
wlsb;B3089;;;eng.b3089
wlsb;B3090;;;eng.b3090
wlsb;B3091;;;eng.b3091
wlsb;B3092;;;eng.b3092
wlsb;B3093;;;eng.b3093
wlsb;B3095;;;eng.b3095
wlsb;B3096;;;eng.b3096
wlsb;B3097;;;eng.b3097
wlsb;B3098;;;eng.b3098
wlsb;B3099;;;eng.b3099
wlsb;B3101;;;eng.b3101
wlsb;B3105;;;eng.b3105
wlsb;B3106;;;eng.b3106
wlsb;B3107;;;eng.b3107
wlsb;B3108;;;eng.b3108
wlsb;B3109;;;eng.b3109
wlsb;B3110;;;eng.b3110
wlsb;B3111;;;eng.b3111
wlsb;B3114;;;eng.b3114
wlsb;B3115;;;eng.b3115
wlsb;B3116;;;eng.b3116
wlsb;B3118;;;eng.b3118
wlsb;B3119;;;eng.b3119
wlsb;B3120;;;eng.b3120
wlsb;B3122;;;eng.b3122
wlsb;B3123;;;eng.b3123
wlsb;B3124;;;eng.b3124
wlsb;B3128;;;eng.b3128
wlsb;B3129;;;eng.b3129
wlsb;B3130;;;eng.b3130
wlsb;B3133;;;eng.b3133
wlsb;B3134;;;eng.b3134
wlsb;B3135;;;eng.b3135
wlsb;B3135;;Cheddar (spur);eng.b3135che
wlsb;B3136;;;eng.b3136
wlsb;B3137;;;eng.b3137
wlsb;B3138;;;eng.b3138
wlsb;B3139;;;eng.b3139
wlsb;B3139;;Dulcote (spur);eng.b3139dul
wlsb;B3140;;;eng.b3140
wlsb;B3141;;;eng.b3141
wlsb;B3143;;;eng.b3143
wlsb;B3144;;;eng.b3144
wlsb;B3145;;;eng.b3145
wlsb;B3146;;;eng.b3146
wlsb;B3147;;;eng.b3147
wlsb;B3148;;;eng.b3148
wlsb;B3149;;;eng.b3149
wlsb;B3150;;;eng.b3150
wlsb;B3151;;;eng.b3151
wlsb;B3151;;Ilchester (spur);eng.b3151ilc
wlsb;B3152;;;eng.b3152
wlsb;B3153;;Somerton;eng.b3153
wlsb;B3153;;Weymouth;eng.b3153wey
wlsb;B3154;;;eng.b3154
wlsb;B3155;;;eng.b3155
wlsb;B3156;;;eng.b3156
wlsb;B3157;;;eng.b3157
wlsb;B3158;;;eng.b3158
wlsb;B3159;;;eng.b3159
wlsb;B3161;;;eng.b3161
wlsb;B3162;;;eng.b3162
wlsb;B3163;;;eng.b3163
wlsb;B3164;;;eng.b3164
wlsb;B3165;;Crewkerne;eng.b3165
wlsb;B3165;;Somerton;eng.b3165som
wlsb;B3167;;;eng.b3167
wlsb;B3168;;;eng.b3168
wlsb;B3169;;;eng.b3169
wlsb;B3170;;;eng.b3170
wlsb;B3172;;;eng.b3172
wlsb;B3174;;Seaton;eng.b3174sea
wlsb;B3174;;Cranbrook;eng.b3174
wlsb;B3175;;;eng.b3175
wlsb;B3176;;;eng.b3176
wlsb;B3177;;;eng.b3177
wlsb;B3177;;Fenny Bridges (spur);eng.b3177fen
wlsb;B3178;;;eng.b3178
wlsb;B3178;;Knowle (loop);eng.b3178kno
wlsb;B3179;;;eng.b3179
wlsb;B3180;;;eng.b3180
wlsb;B3181;;;eng.b3181
wlsb;B3183;;;eng.b3183
wlsb;B3184;;;eng.b3184
wlsb;B3186;;;eng.b3186
wlsb;B3187;;;eng.b3187
wlsb;B3188;;;eng.b3188
wlsb;B3190;;;eng.b3190
wlsb;B3191;;;eng.b3191
wlsb;B3192;;;eng.b3192
wlsb;B3193;;;eng.b3193
wlsb;B3195;;Kingsteignton;eng.b3195
wlsb;B3195;;Newton Abbot;eng.b3195new
wlsb;B3196;;;eng.b3196
wlsb;B3199;;;eng.b3199
wlsb;B3201;;;eng.b3201
wlsb;B3203;;;eng.b3203
wlsb;B3204;;;eng.b3204
wlsb;B3205;;Kingswear;eng.b3205
wlsb;B3205;;Dartmouth;eng.b3205dar
wlsb;B3206;;Chagford;eng.b3206
wlsb;B3212;;;eng.b3212
wlsb;B3213;;;eng.b3213
wlsb;B3214;;;eng.b3214
wlsb;B3215;;;eng.b3215
wlsb;B3216;;;eng.b3216
wlsb;B3217;;;eng.b3217
wlsb;B3220;;;eng.b3220
wlsb;B3222;;;eng.b3222
wlsb;B3223;;;eng.b3223
wlsb;B3224;;;eng.b3224
wlsb;B3225;;;eng.b3225
wlsb;B3226;;;eng.b3226
wlsb;B3227;;;eng.b3227
wlsb;B3229;;;eng.b3229
wlsb;B3230;;;eng.b3230
wlsb;B3231;;;eng.b3231
wlsb;B3232;;;eng.b3232
wlsb;B3233;;;eng.b3233
wlsb;B3234;;;eng.b3234
wlsb;B3236;;;eng.b3236
wlsb;B3237;;;eng.b3237
wlsb;B3238;;;eng.b3238
wlsb;B3240;;;eng.b3240
wlsb;B3247;;;eng.b3247
wlsb;B3248;;;eng.b3248
wlsb;B3249;;;eng.b3249
wlsb;B3250;;;eng.b3250
wlsb;B3251;;;eng.b3251
wlsb;B3252;;;eng.b3252
wlsb;B3253;;;eng.b3253
wlsb;B3254;;;eng.b3254
wlsb;B3254;;Liskeard (spur);eng.b3254lis
wlsb;B3257;;;eng.b3257
wlsb;B3260;;;eng.b3260
wlsb;B3261;;;eng.b3261
wlsb;B3262;;;eng.b3262
