systemName;region;route;banner;abbrev;city;root;altRouteNames
zaff;ZAF;AirFwy;;Joh;Airport Freeway, Johannesburg;zaf.airfwyjoh;
zaff;ZAF;AlbSisFwy;;;Albertina Sisulu Freeway;zaf.albsisfwy;
zaff;ZAF;ArtHopHwy;;;Arthur Hopewell Highway;zaf.arthophwy;
zaff;ZAF;BenSchHwy;;;Ben Schoeman Highway;zaf.benschhwy;
zaff;ZAF;BlaRivPkwy;;;Black River Parkway, Cape Town;zaf.blarivpkwy;
zaff;ZAF;BloByp;;;Bloemfontein Bypass;zaf.blobyp;
zaff;ZAF;CapeFlaFwy;;;Cape Flats Freeway, Cape Town;zaf.capeflafwy;
zaff;ZAF;CurNdlHwy;;;Curnick Ndlovu Highway;zaf.curndlhwy;
zaff;ZAF;DanJouFwy;;;Danie Joubert Freeway;zaf.danjoufwy;
zaff;ZAF;VilGraMwy;;;De Villiers Graaff Motorway;zaf.vilgramwy;
zaff;ZAF;DesKarByp;;;Despatch - Kariega Bypass;zaf.deskarbyp;
zaff;ZAF;EastLonByp;;;East London Bypass;zaf.eastlonbyp;
zaff;ZAF;EasByp;;Joh;Eastern Bypass, Johannesburg;zaf.easbypjoh;
zaff;ZAF;EasFwy;;Joh;Eastern Freeway, Johannesburg;zaf.easfwyjoh;
zaff;ZAF;EasFwy;;Pre;Eastern Freeway, Pretoria;zaf.easfwypre;
zaff;ZAF;FraObeFwy;;;Francois Oberholzer Freeway;zaf.fraobefwy;
zaff;ZAF;FWKBlvd;;;FW De Klerk Boulevard, Cape Town;zaf.fwkblvd;
zaff;ZAF;GeoByp;;;George Bypass;zaf.geobyp;
zaff;ZAF;GopHurRd;;;Gopalall Hurbans Road;zaf.gophurrd;
zaff;ZAF;IALFwy;;;Inkosi Albert Luthuli Freeway;zaf.ialfwy;
zaff;ZAF;JSMarHwy;;;JS Marwick Highway;zaf.jsmarhwy;
zaff;ZAF;KingCetHwy;;;King Cetshwayo Highway;zaf.kingcethwy;
zaff;ZAF;KroPkwy;;;Krombroom Parkway, Cape Town;zaf.kropkwy;
zaff;ZAF;KroTollRte;;;Kronvaal Toll Route;zaf.krotollrte;
zaff;ZAF;KroByp;;;Kroonstad Bypass;zaf.krobyp;
zaff;ZAF;KulRivPkwy;;;Kulis River Parkway, Cape Town;zaf.kulrivpkwy;
zaff;ZAF;M7Fwy;;Dur;M7 Freeway, Durban;zaf.m7fwydur;
zaff;ZAF;MabHwy;;;Mabopane Highway;zaf.mabhwy;
zaff;ZAF;MagTollRd;;;Magalies Toll Road;zaf.magtollrd;
zaff;ZAF;MorByp;;;Moroka Bypass;zaf.morbyp;
zaff;ZAF;N1Fwy;;Cap;N1 Freeway, Cape Town;zaf.n1fwycap;
zaff;ZAF;N2Fwy;;Cap;N2 Freeway, Cape Town;zaf.n2fwycap;
zaff;ZAF;N7Fwy;;Cap;N7 Freeway, Cape Town;zaf.n7fwycap;
zaff;ZAF;N7Fwy;;Mal;N7 Freeway, Malmesbury;zaf.n7fwymal;
zaff;ZAF;NelManBlvd;;;Nelson Mandela Boulevard, Cape Town;zaf.nelmanblvd;
zaff;ZAF;NorCoaTollRd;;;North Coast Toll Road;zaf.norcoatollrd;
zaff;ZAF;NorCoaTollRd;;Emp;North Coast Toll Road (Empangeni);zaf.norcoatollrdemp;
zaff;ZAF;NorFwy;;Pre;Northern Freeway, Pretoria;zaf.norfwypre;
zaff;ZAF;OutRingRd;;;Outer Ring Road, Durban;zaf.outringrd;
zaff;ZAF;PlaHwy;;;Platinum Highway;zaf.plahwy;
zaff;ZAF;PolByp;;;Polokwane Bypass;zaf.polbyp;
zaff;ZAF;PortEliByp;;;Port Elizabeth Bypass;zaf.portelibyp;
zaff;ZAF;PortSheByp;;;Port Shepstone Bypass;zaf.portshebyp;
zaff;ZAF;R57Fwy;;;R57 Freeway;zaf.r57fwy;
zaff;ZAF;RhoDr;;;Rhodes Drive;zaf.rhodr;
zaff;ZAF;RuthFirHwy;;;Ruth First Highway;zaf.ruthfirhwy;
zaff;ZAF;SetWay;;Cap;Settlers Way, Cape Town;zaf.setwaycap;
zaff;ZAF;SetWay;;Gqe;Settlers Way, Gqeberha;zaf.setwaygqe;
zaff;ZAF;SimStelFwy;;;Simon Van der Stel Freeway, Cape Town;zaf.simstelfwy;
zaff;ZAF;SouHwy;;Joh;Southeastern Freeway, Johannesburg;zaf.soufwyjoh;
zaff;ZAF;SouByp;;Joh;Southern Bypass, Johannesburg;zaf.soubypjoh;
zaff;ZAF;SouFwy;;Dur;Southern Freeway, Durban;zaf.soufwydur;
zaff;ZAF;SouFwy;;Pre;Southwestern Freeway, Pretoria;zaf.soufwypre;
zaff;ZAF;SprFwy;;;Springs Freeway;zaf.sprfwy;
zaff;ZAF;SybNieFwy;;;Sybrand Van Niekirk Freeway;zaf.sybniefwy;
zaff;ZAF;UmgRd;;;Umgeni Road;zaf.umgrd;
zaff;ZAF;WesByp;;Joh;Western Bypass, Johannesburg;zaf.wesbypjoh;
zaff;ZAF;WesFwy;;Dur;Western Freeway, Durban;zaf.wesfwydur;
