systemName;region;route;banner;abbrev;city;root;altRouteNames
zafn;ZAF;N1;;;;zaf.n001;
zafn;ZAF;N2;;;(outlined);zaf.n002;
zafn;ZAF;N3;;;;zaf.n003;
zafn;ZAF;N4;;;;zaf.n004;
zafn;ZAF;N5;;;(outlined);zaf.n005;
zafn;ZAF;N6;;;(outlined);zaf.n006;
zafn;ZAF;N7;;;;zaf.n007;
zafn;ZAF;N8;;;(outlined);zaf.n008;
zafn;ZAF;N9;;;(outlined);zaf.n009;
zafn;ZAF;N10;;;(outlined);zaf.n010;
zafn;ZAF;N11;;;(outlined);zaf.n011;
zafn;ZAF;N12;;;;zaf.n012;
zafn;ZAF;N14;;;(outlined);zaf.n014;
zafn;ZAF;N17;;;;zaf.n017;
zafn;ZAF;N18;;;;zaf.n018;
