systemName;route;banner;groupName;roots
zafns;N1;;;zafwc.n001,zafnc.n001ubu,zafwc.n001bea,zafnc.n001,zaffs.n001,zafgp.n001,zafnw.n001,zaflp.n001
zafns;N2;;;zafwc.n002,zafec.n002,zafkzn.n002,zafmp.n002
zafns;N2;;Margate;zafkzn.n002mar
zafns;N3;;;zafkzn.n003,zaffs.n003,zafmp.n003,zafgp.n003
zafns;N4;;;zafnw.n004,zafgp.n004,zafmp.n004
zafns;N4;;Schoemanskloof (loop);zafmp.n004sch
zafns;N5;;;zaffs.n005
zafns;N6;;;zafec.n006,zaffs.n006
zafns;N7;;;zafwc.n007,zafnc.n007
zafns;N8;;;zafnc.n008,zaffs.n008
zafns;N9;;;zafwc.n009,zafec.n009,zafnc.n009
zafns;N10;;;zafnc.n010,zafec.n010
zafns;N11;;;zaflp.n011,zafmp.n011,zafkzn.n011
zafns;N12;;;zafwc.n012,zafnc.n012,zafnw.n012,zafgp.n012,zafmp.n012	
zafns;N14;;;zafnc.n014,zafnw.n014,zafgp.n014
zafns;N17;;;zafgp.n017,zafmp.n017
zafns;N18;;;zafnc.n018,zafnw.n018
