systemName;route;banner;groupName;roots
zafrtr;RTR5;;;zafnc.rtr05,zafwc.rtr05
zafrtr;RTR6;;;zafwc.rtr06,zafnc.rtr06
zafrtr;RTR15;;;zafnw.rtr15,zafnc.rtr15
zafrtr;RTR16;;;zafnc.rtr16,zafwc.rtr16,zafnc.rtr16ubu
zafrtr;RTR25;;;zaflp.rtr25,zafnw.rtr25,zafgp.rtr25,zaffs.rtr25,zafnc.rtr25,zafec.rtr25
zafrtr;RTR35;;;zafkzn.rtr35
zafrtr;RTR36;;;zafkzn.rtr36,zafmp.rtr36,zafgp.rtr36,zafnw.rtr36
zafrtr;RTR40;;;zafnw.rtr40,zafgp.rtr40,zafmp.rtr40
zafrtr;RTR50;;;zafnc.rtr50,zaffs.rtr50
zafrtr;RTR322;;;zaflp.rtr322,zafmp.rtr322
zafrtr;RTR421;;;zaflp.rtr421,zafmp.rtr421
zafrtr;RTR422;;;zafmp.rtr422
zafrtr;RTR425;;;zafgp.rtr425,zafmp.rtr425,zafkzn.rtr425
zafrtr;RTR426;;;zafgp.rtr426,zafmp.rtr426
zafrtr;RTR431;;;zafkzn.rtr431
zafrtr;RTR516;;;zafnc.rtr516,zafec.rtr516
zafrtr;RTR524;;;zaffs.rtr524
