code;name;country;continent;regionType
AB;Alberta;CAN;NA;Province
ABW;Aruba;NLD;NA;Constituent Country
ACT;Australian Capital Territory;AUS;OCE;Territory
AFG;Afghanistan;AFG;ASI;Country
AFR;Africa;AFR;AFR;Continent
AGO;Angola;AGO;AFR;Country
AIA;Anguilla;GBR;NA;Overseas Territory
AK;Alaska;USA;NA;State
AL;Alabama;USA;NA;State
ALA;Aland Islands;FIN;EUR;Autonomous Region
ALB;Albania;ALB;EUR;Country
AND;Andorra;AND;EUR;Country
ANT;Northern Territory;AUS;OCE;Territory
AR;Arkansas;USA;NA;State
ARE;United Arab Emirates;ARE;ASI;Country
ARG;Argentina;ARG;SA;Country
ARM;Armenia;ARM;ASI;Country
AS;American Samoa;USA;OCE;Territory
ASI;Asia;ASI;ASI;Continent
ATA;Antarctica;ATA;ATA;Continent
ATF;French Southern Territories;FRA;ATA;Territory
ATG;Antigua and Barbuda;ATG;NA;Country
AUS;Australia;AUS;OCE;Country
AUT;Austria;AUT;EUR;Country
AZ;Arizona;USA;NA;State
AZE;Azerbaijan;AZE;ASI;Country
BC;British Columbia;CAN;NA;Province
BDI;Burundi;BDI;AFR;Country
BEL;Belgium;BEL;EUR;Country
BEN;Benin;BEN;AFR;Country
BES;Bonaire, Sint Eustatius and Saba;NLD;NA;Special Municipalities
BFA;Burkina Faso;BFA;AFR;Country
BGD;Bangladesh;BGD;ASI;Country
BGR;Bulgaria;BGR;EUR;Country
BHR;Bahrain;BHR;ASI;Country
BHS;Bahamas;BHS;NA;Country
BIH;Bosnia and Herzegovina;BIH;EUR;Country
BLM;Saint Barthelemy;FRA;NA;Overseas Collectivity
BLR;Belarus;BLR;EUR;Country
BLZ;Belize;BLZ;NA;Country
BMU;Bermuda;GBR;NA;Overseas Territory
BOL;Bolivia;BOL;SA;Country
BRA;Brazil;BRA;SA;Country
BRB;Barbados;BRB;NA;Country
BRN;Brunei;BRN;ASI;Country
BTN;Bhutan;BTN;ASI;Country
BVT;Bouvet Island;NOR;ATA;Dependency
BWA;Botswana;BWA;AFR;Country
CA;California;USA;NA;State
CAF;Central African Republic;CAF;AFR;Country
CAN;Canada;CAN;NA;Country
CCK;Cocos (Keeling) Islands;AUS;OCE;External Territory
CHE;Switzerland;CHE;EUR;Country
CHL;Chile;CHL;SA;Country
CHN;China;CHN;ASI;Country
CHN-AH;Anhui;CHN;ASI;Province
CHN-BJ;Beijing;CHN;ASI;Municipality
CHN-CQ;Chongqing;CHN;ASI;Municipality
CHN-FJ;Fujian;CHN;ASI;Province
CHN-GD;Guangdong;CHN;ASI;Province
CHN-GS;Guansu;CHN;ASI;Province
CHN-GX;Guanxi Zhuang;CHN;ASI;Autonomous Region
CHN-GZ;Guizhou;CHN;ASI;Province
CHN-HA;Henan;CHN;ASI;Province
CHN-HB;Hubai;CHN;ASI;Province
CHN-HE;Hebei;CHN;ASI;Province
CHN-HI;Hainan;CHN;ASI;Province
CHN-HL;Heliongjiang;CHN;ASI;Province
CHN-HN;Hunan;CHN;ASI;Province
CHN-JL;Jilin;CHN;ASI;Province
CHN-JS;Jiangsu;CHN;ASI;Province
CHN-JX;Jiangxi;CHN;ASI;Province
CHN-LN;Lianoning;CHN;ASI;Province
CHN-NM;Nei Mongol;CHN;ASI;Autonomous Region
CHN-NX;Ningxia Hui;CHN;ASI;Autonomous Region
CHN-QH;Qinghai;CHN;ASI;Province
CHN-SC;Sichuan;CHN;ASI;Province
CHN-SD;Shangong;CHN;ASI;Province
CHN-SH;Shanghai;CHN;ASI;Municipality
CHN-SN;Shaanxi;CHN;ASI;Province
CHN-SX;Shanxi;CHN;ASI;Province
CHN-TJ;Tianjin;CHN;ASI;Municipality
CHN-XJ;Xinjiang Uyghur;CHN;ASI;Autonomous Region
CHN-XZ;Tibet;CHN;ASI;Autonomous Region
CHN-YN;Yunnan;CHN;ASI;Province
CHN-ZJ;Zhejiang;CHN;ASI;Province
CIV;Cote d'Ivoire;CIV;AFR;Country
CMR;Cameroon;CMR;AFR;Country
CO;Colorado;USA;NA;State
COD;Congo (DRC);COD;AFR;Country
COG;Congo;COG;AFR;Country
COK;Cook Islands;NZL;OCE;Associated State
COL;Colombia;COL;SA;Country
COM;Comoros;COM;AFR;Country
CPV;Cabo Verde;CPV;AFR;Country
CRI;Costa Rica;CRI;NA;Country
CRM;Crimea;UKR;EUR;Autonomous Republic
CT;Connecticut;USA;NA;State
CUB;Cuba;CUB;NA;Country
CUW;Curacao;NLD;NA;Constituent Country
CXR;Christmas Island;AUS;OCE;External Territory
CYM;Cayman Islands;GBR;NA;Overseas Territory
CYP;Cyprus;CYP;ASI;Country
CZE;Czechia;CZE;EUR;Country
DC;District of Columbia;USA;NA;Capital District
DE;Delaware;USA;NA;State
DEU;Germany;DEU;EUR;Country
DEU-BW;Baden-Wurttemberg;DEU;EUR;State
DEU-BY;Bavaria;DEU;EUR;State
DEU-BE;Berlin;DEU;EUR;State
DEU-BB;Brandenburg;DEU;EUR;State
DEU-HB;Bremen;DEU;EUR;State
DEU-HH;Hamburg;DEU;EUR;State
DEU-HE;Hesse;DEU;EUR;State
DEU-MV;Mecklenburg-Western Pomerania;DEU;EUR;State
DEU-NI;Lower Saxony;DEU;EUR;State
DEU-NW;North Rhine-Westphalia;DEU;EUR;State
DEU-RP;Rhineland-Palatinate;DEU;EUR;State
DEU-SL;Saarland;DEU;EUR;State
DEU-SN;Saxony;DEU;EUR;State
DEU-ST;Saxony-Anhalt;DEU;EUR;State
DEU-SH;Schleswig-Holstein;DEU;EUR;State
DEU-TH;Thuringia;DEU;EUR;State
DJI;Djibouti;DJI;AFR;Country
DMA;Dominica;DMA;NA;Country
DNK;Denmark;DNK;EUR;Country
DOM;Dominican Republic;DOM;NA;Country
DZA;Algeria;DZA;AFR;Country
ECU;Ecuador;ECU;SA;Country
EGY;Egypt;EGY;AFR;Country
ENG;England;GBR;EUR;Constituent Country
ERI;Eritrea;ERI;AFR;Country
ESH;Western Sahara;ESH;AFR;Disputed Territory
ESP;Spain;ESP;EUR;Country
ESP-AN;Andalusia;ESP;EUR;Autonomous Community
ESP-AR;Aragon;ESP;EUR;Autonomous Community
ESP-AS;Asturias;ESP;EUR;Autonomous Community
ESP-CB;Cantabria;ESP;EUR;Autonomous Community
ESP-CE;Ceuta;ESP;AFR;Autonomous City
ESP-CL;Castile and Leon;ESP;EUR;Autonomous Community
ESP-CM;Castilla-La Mancha;ESP;EUR;Autonomous Community
ESP-CN;Canary Islands;ESP;AFR;Autonomous Community
ESP-CT;Catalonia;ESP;EUR;Autonomous Community
ESP-EX;Extremadura;ESP;EUR;Autonomous Community
ESP-GA;Galicia;ESP;EUR;Autonomous Community
ESP-IB;Balearic Islands;ESP;EUR;Autonomous Community
ESP-MC;Region of Murcia;ESP;EUR;Autonomous Community
ESP-MD;Community of Madrid;ESP;EUR;Autonomous Community
ESP-ML;Melilla;ESP;AFR;Autonomous City
ESP-NC;Navarre;ESP;EUR;Autonomous Community
ESP-PV;Basque Country;ESP;EUR;Autonomous Community
ESP-RI;La Rioja;ESP;EUR;Autonomous Community
ESP-VC;Valencian Community;ESP;EUR;Autonomous Community
EST;Estonia;EST;EUR;Country
ETH;Ethiopia;ETH;AFR;Country
EUR;Europe;EUR;EUR;Continent
FIN;Finland;FIN;EUR;Country
FJI;Fiji;FJI;OCE;Country
FL;Florida;USA;NA;State
FLK;Falkland Islands;GBR;SA;Overseas Territory
FRA;France;FRA;EUR;Country
FRH;Corsica;FRA;EUR;Region
FRO;Faroe Islands;DNK;EUR;Constituent Country
FSM;Micronesia;FSM;OCE;Country
GA;Georgia (USA);USA;NA;State
