System;CountryCode;Name;Color;Tier;Level
abwrt;NLD;Aruba Routes;lightsalmon;3C;active
alba;ALB;Albania Autoudhë;blue;1A;active
andcg;AND;Andorra Carreteras Generales;lightsalmon;3A;active
armm;ARM;Armenia Magistrale;lightsalmon;3A;active
asiah;ASI;UNESCAP Asian Highways;red;2A;active
auta;AUT;Austria Autobahnen;blue;1A;active
auts;AUT;Austria Schnellstrassen;teal;1B;active
azem;AZE;Azerbaijan Magistrale;lightsalmon;3A;active
bela;BEL;Belgium Autosnelwegen / Autoroutes;blue;1A;active
belb;BEL;Belgium Bretelles;teal;3C;active
belr;BEL;Belgium Ringwegen;lightsalmon;3C;active
biha;BIH;Bosnia and Herzegovina Autoputevi;blue;1A;active
bgra;BGR;Bulgaria Avtomagistrala;blue;1A;active
bgri;BGR;Bulgaria First and Second Class Roads;lightsalmon;3A;active
blrm;BLR;Belarus Magistral;lightsalmon;3A;active
brbh;BRB;Barbados Highways;brown;3A;active
cannsf;CAN;Nova Scotia Provincial Freeways;blue;1C;active
canonf;CAN;Ontario Provincial Freeways;blue;1C;active
canqca;CAN;Quebec Freeways;blue;1A;active
cantch;CAN;Trans-Canada Highway;red;3A;active
canab;CAN;Alberta Provincial Highways 1-216;brown;3C;active
canbc;CAN;British Columbia Provincial Highways;brown;3C;active
canmb;CAN;Manitoba Provincial Trunk Highways;brown;3C;active
cannb;CAN;New Brunswick Provincial Highways;brown;3C;active
cannst;CAN;Nova Scotia Trunk Routes;brown;3C;active
cannsc;CAN;Nova Scotia Collector Routes;yellow;3D;active
cannt;CAN;Northwest Territorial Highways;brown;3C;active
canon;CAN;Ontario King's Highways;brown;3C;active
canpe;CAN;Prince Edward Island Provincial Highways;brown;3C;active
canyt;CAN;Yukon Territorial Highways;brown;3C;active
chea;CHE;Switzerland Autobahnen / Autoroutes;blue;1A;active
cism;ASI;Central Asian Magistral;lightsalmon;2A;active
cisa;ASI;Central Asian doroga nacional'nogo znacenija;lightsalmon;2A;active
cypa;CYP;Cyprus Motorways;blue;1A;active
cypb;CYP;Cyprus B Roads;lightsalmon;3A;active
czed;CZE;Czechia Dálnice;blue;1A;active
czei;CZE;Czechia Silnice I. Třídy;lightsalmon;3A;active
deua;DEU;Germany Autobahnen;blue;1A;active
dnkpr;DNK;Denmark Primærruter;lightsalmon;3A;active
eure;EUR;UNECE International 'E' Roads;green;2A;active
eursf;EUR;Europe Select Named Freeways;teal;1D;active
espa;ESP;Spain Autopista / Autovia;blue;1A;active
estp;EST;Estonia Põhimaanteed;lightsalmon;3A;active
finvt;FIN;Finland Valtatiet;lightsalmon;3A;active
alavt;FIN;Åland Valtatiet;lightsalmon;3C;active
finkt;FIN;Finland Kantatiet;yellow;3B;active
alakt;FIN;Åland Kantatiet;yellow;3D;active
fraa;FRA;France Autoroutes;blue;1A;active
ncle;FRA;New Caledonia Voie Express;teal;1C;active
mtqa;FRA;Martinique Autoroutes;blue;1A;active
fran;FRA;France Routes Nationales;lightsalmon;3A;active
frht;FRA;Corsica Routes Territoriales;lightsalmon;3C;active
gufn;FRA;French Guiana Routes Nationales;lightsalmon;3C;active
pyft;FRA;French Polynesia Routes Territoriales;lightsalmon;3C;active
glpn;FRA;Guadeloupe Routes Nationales;lightsalmon;3C;active
hunf;HUN;Hungary Főútjai;lightsalmon;3A;active
mtqn;FRA;Martinique Routes Nationales;lightsalmon;3C;active
mytn;FRA;Mayotte Routes Nationales;lightsalmon;3C;active
nclt;FRA;New Caledonia Routes Territoriales;lightsalmon;3C;active
reun;FRA;Reunion Routes Nationales;lightsalmon;3C;active
spmn;FRA;Saint Pierre and Miquelon Routes Territoriales;lightsalmon;3C;active
wlft;FRA;Wallis and Futuna Routes Territoriales;lightsalmon;3C;active
gbnm;GBR;Great Britain Motorways;blue;1A;active
